rpid,oid,type,mid,root,parent,dialog,count,rcount,state,fansgrade,attr,ctime,rpid_str,root_str,parent_str,like,action,member,content,replies,assist,folder,up_action,show_follow,invisible
4011487788,203807862,1,319624791,0,0,0,0,0,0,0,0,1611741030,4011487788,0,0,0,0,"{'mid': '319624791', 'uname': '项项超超', 'sex': '保密', 'sign': '愿你历经山河，觉得人间值得。', 'avatar': 'http://i2.hdslb.com/bfs/face/b05d9995497bbb0488472b0e566d6d0c41670b41.jpg', 'rank': '10000', 'DisplayRank': '0', 'level_info': {'current_level': 3, 'current_min': 0, 'current_exp': 0, 'next_exp': 0}, 'pendant': {'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}, 'nameplate': {'nid': 0, 'name': '', 'image': '', 'image_small': '', 'level': '', 'condition': ''}, 'official_verify': {'type': -1, 'desc': ''}, 'vip': {'vipType': 0, 'vipDueDate': 0, 'dueRemark': '', 'accessStatus': 0, 'vipStatus': 0, 'vipStatusWarn': '', 'themeType': 0, 'label': {'path': '', 'text': '', 'label_theme': ''}}, 'fans_detail': None, 'following': 0, 'is_followed': 0, 'user_sailing': {'pendant': None, 'cardbg': None, 'cardbg_with_focus': None}, 'is_contractor': False}","{'message': '我喷的快[OK]', 'plat': 2, 'device': '', 'members': [], 'emote': {'[OK]': {'id': 1950, 'package_id': 1, 'state': 0, 'type': 1, 'attr': 0, 'text': '[OK]', 'url': 'http://i0.hdslb.com/bfs/emote/4683fd9ffc925fa6423110979d7dcac5eda297f4.png', 'meta': {'size': 1, 'suggest': ['']}, 'mtime': 1597738918}}, 'jump_url': {}, 'max_line': 6}",,0,"{'has_folded': False, 'is_folded': False, 'rule': 'https://www.bilibili.com/blackboard/foldingreply.html'}","{'like': False, 'reply': False}",False,False
4011468372,203807862,1,441379913,0,0,0,0,0,0,0,0,1611740812,4011468372,0,0,0,0,"{'mid': '441379913', 'uname': '元气构造者', 'sex': '男', 'sign': '', 'avatar': 'http://i0.hdslb.com/bfs/face/1dd695c34d99f2a12eb5337e1008687b17f55bdd.jpg', 'rank': '10000', 'DisplayRank': '0', 'level_info': {'current_level': 3, 'current_min': 0, 'current_exp': 0, 'next_exp': 0}, 'pendant': {'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}, 'nameplate': {'nid': 0, 'name': '', 'image': '', 'image_small': '', 'level': '', 'condition': ''}, 'official_verify': {'type': -1, 'desc': ''}, 'vip': {'vipType': 0, 'vipDueDate': 0, 'dueRemark': '', 'accessStatus': 0, 'vipStatus': 0, 'vipStatusWarn': '', 'themeType': 0, 'label': {'path': '', 'text': '', 'label_theme': ''}}, 'fans_detail': None, 'following': 0, 'is_followed': 0, 'user_sailing': {'pendant': None, 'cardbg': None, 'cardbg_with_focus': None}, 'is_contractor': False}","{'message': '这次我的币是真的没了[doge][doge][doge]', 'plat': 2, 'device': '', 'members': [], 'emote': {'[doge]': {'id': 26, 'package_id': 1, 'state': 0, 'type': 1, 'attr': 0, 'text': '[doge]', 'url': 'http://i0.hdslb.com/bfs/emote/bba7c12aa51fed0199c241465560dfc2714c593e.png', 'meta': {'size': 1, 'suggest': ['']}, 'mtime': 1597738918}}, 'jump_url': {}, 'max_line': 6}",,0,"{'has_folded': False, 'is_folded': False, 'rule': 'https://www.bilibili.com/blackboard/foldingreply.html'}","{'like': False, 'reply': False}",False,False
4011435686,203807862,1,410211311,0,0,0,0,0,0,0,0,1611740337,4011435686,0,0,0,0,"{'mid': '410211311', 'uname': '一隻大花貓', 'sex': '男', 'sign': '我越來越相信，創造美好的代價是：努力、失望以及毅力。首先是疼痛，然後才是歡樂。\n\n——梵高  \u200b\u200b\u200b', 'avatar': 'http://i1.hdslb.com/bfs/face/ad78e60e2c607d23d798e2aa029386d3275f54e2.jpg', 'rank': '10000', 'DisplayRank': '0', 'level_info': {'current_level': 4, 'current_min': 0, 'current_exp': 0, 'next_exp': 0}, 'pendant': {'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}, 'nameplate': {'nid': 0, 'name': '', 'image': '', 'image_small': '', 'level': '', 'condition': ''}, 'official_verify': {'type': -1, 'desc': ''}, 'vip': {'vipType': 0, 'vipDueDate': 0, 'dueRemark': '', 'accessStatus': 0, 'vipStatus': 0, 'vipStatusWarn': '', 'themeType': 0, 'label': {'path': '', 'text': '', 'label_theme': ''}}, 'fans_detail': None, 'following': 0, 'is_followed': 0, 'user_sailing': {'pendant': None, 'cardbg': None, 'cardbg_with_focus': None}, 'is_contractor': False}","{'message': '厉害了', 'plat': 3, 'device': 'phone', 'members': [], 'jump_url': {}, 'max_line': 6}",,0,"{'has_folded': False, 'is_folded': False, 'rule': 'https://www.bilibili.com/blackboard/foldingreply.html'}","{'like': False, 'reply': False}",False,False
4011390642,203807862,1,1153033218,0,0,0,0,0,0,0,0,1611739779,4011390642,0,0,0,0,"{'mid': '1153033218', 'uname': '娑婆随遇', 'sex': '保密', 'sign': '', 'avatar': 'http://i0.hdslb.com/bfs/face/member/noface.jpg', 'rank': '10000', 'DisplayRank': '0', 'level_info': {'current_level': 2, 'current_min': 0, 'current_exp': 0, 'next_exp': 0}, 'pendant': {'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}, 'nameplate': {'nid': 0, 'name': '', 'image': '', 'image_small': '', 'level': '', 'condition': ''}, 'official_verify': {'type': -1, 'desc': ''}, 'vip': {'vipType': 0, 'vipDueDate': 0, 'dueRemark': '', 'accessStatus': 0, 'vipStatus': 0, 'vipStatusWarn': '', 'themeType': 0, 'label': {'path': '', 'text': '', 'label_theme': ''}}, 'fans_detail': None, 'following': 0, 'is_followed': 0, 'user_sailing': {'pendant': None, 'cardbg': None, 'cardbg_with_focus': None}, 'is_contractor': False}","{'message': '真好！问一下UP主，是练武的吗？把武术动作理解的这么牛！', 'plat': 1, 'device': '', 'members': [], 'jump_url': {}, 'max_line': 6}",,0,"{'has_folded': False, 'is_folded': False, 'rule': 'https://www.bilibili.com/blackboard/foldingreply.html'}","{'like': False, 'reply': False}",False,False
4011342374,203807862,1,700714555,0,0,0,0,0,0,0,0,1611739214,4011342374,0,0,0,0,"{'mid': '700714555', 'uname': '公子丨寒', 'sex': '保密', 'sign': '', 'avatar': 'http://i0.hdslb.com/bfs/face/7850187154cd361c4f85737808d81f2b220fd235.jpg', 'rank': '10000', 'DisplayRank': '0', 'level_info': {'current_level': 2, 'current_min': 0, 'current_exp': 0, 'next_exp': 0}, 'pendant': {'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}, 'nameplate': {'nid': 0, 'name': '', 'image': '', 'image_small': '', 'level': '', 'condition': ''}, 'official_verify': {'type': -1, 'desc': ''}, 'vip': {'vipType': 0, 'vipDueDate': 0, 'dueRemark': '', 'accessStatus': 0, 'vipStatus': 0, 'vipStatusWarn': '', 'themeType': 0, 'label': {'path': '', 'text': '', 'label_theme': ''}}, 'fans_detail': None, 'following': 0, 'is_followed': 0, 'user_sailing': {'pendant': None, 'cardbg': None, 'cardbg_with_focus': None}, 'is_contractor': False}","{'message': '这个配音卡点很准很用心啊', 'plat': 3, 'device': 'phone', 'members': [], 'jump_url': {}, 'max_line': 6}",,0,"{'has_folded': False, 'is_folded': False, 'rule': 'https://www.bilibili.com/blackboard/foldingreply.html'}","{'like': False, 'reply': False}",False,False
4011256668,203807862,1,434085459,0,0,0,0,0,0,0,0,1611738054,4011256668,0,0,0,0,"{'mid': '434085459', 'uname': '-叶问-', 'sex': '保密', 'sign': '', 'avatar': 'http://i1.hdslb.com/bfs/face/0f2f4cc1d16c4cb29d7db657f0918e9355ff6ee3.jpg', 'rank': '10000', 'DisplayRank': '0', 'level_info': {'current_level': 4, 'current_min': 0, 'current_exp': 0, 'next_exp': 0}, 'pendant': {'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}, 'nameplate': {'nid': 0, 'name': '', 'image': '', 'image_small': '', 'level': '', 'condition': ''}, 'official_verify': {'type': -1, 'desc': ''}, 'vip': {'vipType': 0, 'vipDueDate': 0, 'dueRemark': '', 'accessStatus': 0, 'vipStatus': 0, 'vipStatusWarn': '', 'themeType': 0, 'label': {'path': '', 'text': '', 'label_theme': ''}}, 'fans_detail': None, 'following': 0, 'is_followed': 0, 'user_sailing': {'pendant': None, 'cardbg': None, 'cardbg_with_focus': None}, 'is_contractor': False}","{'message': '看的我热血沸腾[doge]', 'plat': 2, 'device': '', 'members': [], 'emote': {'[doge]': {'id': 26, 'package_id': 1, 'state': 0, 'type': 1, 'attr': 0, 'text': '[doge]', 'url': 'http://i0.hdslb.com/bfs/emote/bba7c12aa51fed0199c241465560dfc2714c593e.png', 'meta': {'size': 1, 'suggest': ['']}, 'mtime': 1597738918}}, 'jump_url': {}, 'max_line': 6}",,0,"{'has_folded': False, 'is_folded': False, 'rule': 'https://www.bilibili.com/blackboard/foldingreply.html'}","{'like': False, 'reply': False}",False,False
4011228188,203807862,1,44026898,0,0,0,0,0,0,0,0,1611737700,4011228188,0,0,0,0,"{'mid': '44026898', 'uname': '逃跑小太郎丶', 'sex': '男', 'sign': '', 'avatar': 'http://i1.hdslb.com/bfs/face/c7483e95f09d500d3917edd26626c77531c83065.jpg', 'rank': '10000', 'DisplayRank': '0', 'level_info': {'current_level': 5, 'current_min': 0, 'current_exp': 0, 'next_exp': 0}, 'pendant': {'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}, 'nameplate': {'nid': 0, 'name': '', 'image': '', 'image_small': '', 'level': '', 'condition': ''}, 'official_verify': {'type': -1, 'desc': ''}, 'vip': {'vipType': 1, 'vipDueDate': 1596988800000, 'dueRemark': '', 'accessStatus': 0, 'vipStatus': 0, 'vipStatusWarn': '', 'themeType': 0, 'label': {'path': '', 'text': '', 'label_theme': ''}}, 'fans_detail': None, 'following': 0, 'is_followed': 0, 'user_sailing': {'pendant': None, 'cardbg': None, 'cardbg_with_focus': None}, 'is_contractor': False}","{'message': '。，', 'plat': 3, 'device': 'pad', 'members': [], 'jump_url': {}, 'max_line': 6}",,0,"{'has_folded': False, 'is_folded': False, 'rule': 'https://www.bilibili.com/blackboard/foldingreply.html'}","{'like': False, 'reply': False}",False,False
4011170415,203807862,1,272285571,0,0,0,0,0,0,0,0,1611736796,4011170415,0,0,0,0,"{'mid': '272285571', 'uname': '性冷淡熊', 'sex': '保密', 'sign': '', 'avatar': 'http://i0.hdslb.com/bfs/face/1e3a73b534a92bfae63e31fb2065f0ce631433af.jpg', 'rank': '10000', 'DisplayRank': '0', 'level_info': {'current_level': 4, 'current_min': 0, 'current_exp': 0, 'next_exp': 0}, 'pendant': {'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}, 'nameplate': {'nid': 0, 'name': '', 'image': '', 'image_small': '', 'level': '', 'condition': ''}, 'official_verify': {'type': -1, 'desc': ''}, 'vip': {'vipType': 1, 'vipDueDate': 1599926400000, 'dueRemark': '', 'accessStatus': 0, 'vipStatus': 0, 'vipStatusWarn': '', 'themeType': 0, 'label': {'path': '', 'text': '', 'label_theme': ''}}, 'fans_detail': None, 'following': 0, 'is_followed': 0, 'user_sailing': {'pendant': None, 'cardbg': None, 'cardbg_with_focus': None}, 'is_contractor': False}","{'message': '周杰伦的歌曲，咪咕音乐免费，除了新歌[doge][doge][doge]', 'plat': 2, 'device': '', 'members': [], 'emote': {'[doge]': {'id': 26, 'package_id': 1, 'state': 0, 'type': 1, 'attr': 0, 'text': '[doge]', 'url': 'http://i0.hdslb.com/bfs/emote/bba7c12aa51fed0199c241465560dfc2714c593e.png', 'meta': {'size': 1, 'suggest': ['']}, 'mtime': 1597738918}}, 'jump_url': {}, 'max_line': 6}",,0,"{'has_folded': False, 'is_folded': False, 'rule': 'https://www.bilibili.com/blackboard/foldingreply.html'}","{'like': False, 'reply': False}",False,False
4011163820,203807862,1,272285571,0,0,0,0,0,0,0,0,1611736727,4011163820,0,0,0,0,"{'mid': '272285571', 'uname': '性冷淡熊', 'sex': '保密', 'sign': '', 'avatar': 'http://i0.hdslb.com/bfs/face/1e3a73b534a92bfae63e31fb2065f0ce631433af.jpg', 'rank': '10000', 'DisplayRank': '0', 'level_info': {'current_level': 4, 'current_min': 0, 'current_exp': 0, 'next_exp': 0}, 'pendant': {'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}, 'nameplate': {'nid': 0, 'name': '', 'image': '', 'image_small': '', 'level': '', 'condition': ''}, 'official_verify': {'type': -1, 'desc': ''}, 'vip': {'vipType': 1, 'vipDueDate': 1599926400000, 'dueRemark': '', 'accessStatus': 0, 'vipStatus': 0, 'vipStatusWarn': '', 'themeType': 0, 'label': {'path': '', 'text': '', 'label_theme': ''}}, 'fans_detail': None, 'following': 0, 'is_followed': 0, 'user_sailing': {'pendant': None, 'cardbg': None, 'cardbg_with_focus': None}, 'is_contractor': False}","{'message': '喜欢杰伦的，都是兄弟，扎起！！！', 'plat': 2, 'device': '', 'members': [], 'jump_url': {}, 'max_line': 6}",,0,"{'has_folded': False, 'is_folded': False, 'rule': 'https://www.bilibili.com/blackboard/foldingreply.html'}","{'like': False, 'reply': False}",False,False
4011077829,203807862,1,239116528,0,0,0,0,0,0,0,0,1611735482,4011077829,0,0,1,0,"{'mid': '239116528', 'uname': '精神科牛医师', 'sex': '男', 'sign': '这个人懒死了，什么都没有写。(ಡωಡ)', 'avatar': 'http://i2.hdslb.com/bfs/face/ecdedfddd7b3ca311ce7bffad26d41505ec3eda6.jpg', 'rank': '10000', 'DisplayRank': '0', 'level_info': {'current_level': 5, 'current_min': 0, 'current_exp': 0, 'next_exp': 0}, 'pendant': {'pid': 368, 'name': '中野四叶', 'image': 'http://i1.hdslb.com/bfs/face/abcad26f20c8cb70e3f7863aace871f0c4f39831.png', 'expire': 0, 'image_enhance': 'http://i1.hdslb.com/bfs/face/abcad26f20c8cb70e3f7863aace871f0c4f39831.png', 'image_enhance_frame': ''}, 'nameplate': {'nid': 57, 'name': '收集萌新', 'image': 'http://i1.hdslb.com/bfs/face/7767275600ea63d351b22fa87ec15a79aa24e5e5.png', 'image_small': 'http://i1.hdslb.com/bfs/face/6589d992655595bf51543f268040eaeaed372fae.png', 'level': '普通勋章', 'condition': '同时拥有粉丝勋章>=5个'}, 'official_verify': {'type': -1, 'desc': ''}, 'vip': {'vipType': 2, 'vipDueDate': 1624896000000, 'dueRemark': '', 'accessStatus': 0, 'vipStatus': 1, 'vipStatusWarn': '', 'themeType': 0, 'label': {'path': '', 'text': '年度大会员', 'label_theme': 'annual_vip'}}, 'fans_detail': None, 'following': 0, 'is_followed': 0, 'user_sailing': {'pendant': {'id': 368, 'name': '中野四叶', 'image': 'http://i0.hdslb.com/bfs/face/abcad26f20c8cb70e3f7863aace871f0c4f39831.png', 'jump_url': '', 'type': 'vip', 'image_enhance': 'http://i0.hdslb.com/bfs/face/abcad26f20c8cb70e3f7863aace871f0c4f39831.png', 'image_enhance_frame': ''}, 'cardbg': None, 'cardbg_with_focus': None}, 'is_contractor': False}","{'message': '我见有评论吵枪快还是拳快的，真的搞笑。建议看看这个https://b23.tv/BV1yx411B7mB', 'plat': 2, 'device': '', 'members': [], 'jump_url': {'https://b23.tv/BV1yx411B7mB': {'title': '采访麦格雷、瞬发左轮～真人版、', 'state': 0, 'prefix_icon': 'https://i0.hdslb.com/bfs/activity-plat/static/20201110/4c8b2dbaded282e67c9a31daa4297c3c/AeQJlYP7e.png', 'app_url_schema': '', 'app_name': '', 'app_package_name': '', 'click_report': '11807278'}}, 'max_line': 6}",,0,"{'has_folded': False, 'is_folded': False, 'rule': 'https://www.bilibili.com/blackboard/foldingreply.html'}","{'like': False, 'reply': False}",False,False
